Date,Value
2024-01-01,30
2024-01-08,32
2024-01-15,28
2024-01-22,31
2024-01-29,29
2024-02-05,33
2024-02-12,30
2024-02-19,27
2024-02-26,31
2024-03-04,29
2024-03-11,32
2024-03-18,28
2024-03-25,30
2024-04-01,31
2024-04-08,29
2024-04-15,27
2024-04-22,33
2024-04-29,30
2024-05-06,28
2024-05-13,31
2024-05-20,29
2024-05-27,30
2024-06-03,32
2024-06-10,28
2024-06-17,31
2024-06-24,30
2024-07-01,29
2024-07-08,33
2024-07-15,31
2024-07-22,30
2024-07-29,32
2024-08-05,34
2024-08-12,36
2024-08-19,38
2024-08-26,40
2024-09-02,42
2024-09-09,44
2024-09-16,46
2024-09-23,48
2024-09-30,50
2024-10-07,52
2024-10-14,54
2024-10-21,53
2024-10-28,51
2024-11-04,55
2024-11-11,50
2024-11-18,49
2024-11-25,52
2024-12-02,48
2024-12-09,51
2024-12-16,47
2024-12-23,50
2024-12-30,49
2025-01-06,51
2025-01-13,48
2025-01-20,50
2025-01-27,53
2025-02-03,49
2025-02-10,51
2025-02-17,50
